City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Stornoway,GB,58.2093,-6.3865,51.93,85,75,9.22,broken clouds
229,Saint George,US,37.1041,-113.5841,71.64,15,0,4.0,clear sky
230,Sharan,RU,54.8167,54.0,33.84,90,100,13.76,overcast clouds
231,Araouane,ML,18.9048,-3.5265,86.25,11,91,3.47,overcast clouds
232,Pisco,PE,-13.7,-76.2167,71.65,68,0,10.36,clear sky
233,Port Lincoln,AU,-34.7333,135.8667,59.63,75,1,8.68,clear sky
234,Saurimo,AO,-9.6608,20.3916,70.59,77,76,3.0,broken clouds
235,Acapulco,MX,16.8634,-99.8901,84.02,54,0,6.91,clear sky
236,Clyde River,CA,70.4692,-68.5914,-3.77,84,100,23.02,light snow
237,Nicoya,CR,10.1483,-85.452,96.85,35,92,10.89,overcast clouds
238,Santa Lucia,ES,27.9117,-15.5407,58.32,48,20,16.11,few clouds
239,Provost,CA,52.3501,-110.2683,41.45,71,7,19.73,clear sky
240,Bertoua,CM,4.5833,13.6833,75.4,68,100,5.46,light rain
241,Bundaberg,AU,-24.85,152.35,66.49,95,40,6.91,scattered clouds
242,Malanje,AO,-9.5402,16.341,65.14,96,82,4.38,light rain
243,Lingao,CN,19.9103,109.6859,75.16,91,12,4.43,few clouds
244,Urucui,BR,-7.2294,-44.5561,82.36,79,99,6.02,light rain
245,Wundanyi,KE,-3.4019,38.364,65.82,83,0,7.74,clear sky
246,Kayerkan,RU,69.3497,87.7602,8.53,84,88,8.88,overcast clouds
247,Tiksi,RU,71.6872,128.8694,-10.66,97,72,1.63,broken clouds
248,Dunedin,NZ,-45.8742,170.5036,52.81,89,47,1.01,scattered clouds
249,Mortka,RU,59.3322,66.0214,27.75,86,100,11.39,overcast clouds
250,Kashan,IR,33.9831,51.4364,65.71,31,0,6.38,clear sky
251,Scunthorpe,GB,53.579,-0.6544,59.68,57,8,5.64,clear sky
252,Samarai,PG,-10.6167,150.6667,82.09,79,83,10.4,broken clouds
253,Batagay-Alyta,RU,67.8006,130.4114,-13.85,93,58,5.91,broken clouds
254,Emerald,AU,-23.5333,148.1667,71.74,73,12,3.44,few clouds
255,Kumluca,TR,36.3703,30.2869,48.67,62,15,6.91,few clouds
256,Hennenman,ZA,-27.9765,27.0242,60.64,64,95,4.7,overcast clouds
257,Isangel,VU,-19.55,169.2667,78.49,84,49,13.35,scattered clouds
258,Berlevag,NO,70.8578,29.0864,26.55,86,40,31.07,light shower snow
259,Kamphaeng Phet,TH,16.25,99.5,83.41,60,10,3.42,clear sky
260,Luanda,AO,-8.8368,13.2343,82.4,83,40,6.91,scattered clouds
261,Nanchang,CN,28.6833,115.8833,59.77,99,100,5.97,moderate rain
262,Eyl,SO,7.9803,49.8164,79.99,74,83,10.51,broken clouds
263,Ugoofaaru,MV,5.6667,73.0,83.07,66,5,11.14,clear sky
264,Flinders,AU,-34.5833,150.8552,65.17,94,95,5.99,moderate rain
265,Weiden,DE,49.6775,12.1567,52.02,37,0,0.0,clear sky
266,Hauterive,FR,46.0901,3.4459,59.76,62,5,5.17,clear sky
267,Chuy,UY,-33.6971,-53.4616,75.54,71,35,16.71,scattered clouds
268,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,39,11.3,scattered clouds
269,Hay River,CA,60.8156,-115.7999,3.18,72,20,18.41,few clouds
270,Dingle,PH,10.9995,122.6711,77.32,87,100,6.73,overcast clouds
271,Mehamn,NO,71.0357,27.8492,26.51,78,100,29.91,snow
